SK_ID_CURR,FLAG_OWN_CAR,OWN_CAR_AGE,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,REGION_RATING_CLIENT
441534,N,,Y,House / apartment,2
193209,N,,N,With parents,1
282406,N,,Y,House / apartment,2
389844,Y,25.0,N,House / apartment,2
285107,N,,N,House / apartment,2
114054,N,,N,House / apartment,2
434912,N,,Y,House / apartment,2
424466,N,,Y,House / apartment,2
283550,N,,Y,House / apartment,3
241225,N,,Y,House / apartment,2
215446,N,,Y,House / apartment,2
389939,N,,Y,With parents,2
378607,N,,N,House / apartment,2
127783,Y,18.0,N,House / apartment,3
361609,Y,7.0,Y,House / apartment,3
388358,N,,Y,House / apartment,3
125771,N,,Y,House / apartment,2
211172,N,,N,House / apartment,2
332600,N,,N,House / apartment,2
188539,Y,3.0,N,House / apartment,1
111837,N,,Y,House / apartment,2
127600,Y,16.0,Y,House / apartment,2
194888,Y,4.0,Y,House / apartment,2
242983,N,,N,House / apartment,2
310987,N,,Y,House / apartment,3
214517,N,,Y,House / apartment,1
169151,N,,Y,House / apartment,3
223145,Y,1.0,Y,House / apartment,2
279072,N,,Y,House / apartment,2
305588,N,,Y,House / apartment,2
447340,Y,29.0,Y,House / apartment,2
420244,Y,5.0,Y,House / apartment,2
436984,N,,Y,With parents,2
244434,N,,N,House / apartment,2
332898,Y,21.0,Y,House / apartment,2
183771,N,,Y,House / apartment,3
335089,N,,Y,House / apartment,2
188541,Y,64.0,Y,House / apartment,2
449423,N,,N,House / apartment,2
346527,N,,Y,House / apartment,3
415863,Y,64.0,Y,House / apartment,2
240050,N,,N,House / apartment,2
455320,Y,14.0,Y,House / apartment,2
245238,N,,N,House / apartment,3
126030,N,,Y,House / apartment,1
211879,Y,3.0,Y,House / apartment,3
417935,N,,Y,Office apartment,2
163153,N,,Y,House / apartment,2
427266,Y,15.0,Y,House / apartment,2
439170,Y,7.0,Y,House / apartment,2
273767,Y,10.0,Y,House / apartment,2
392777,N,,Y,House / apartment,1
325562,N,,Y,House / apartment,2
284053,Y,1.0,Y,With parents,2
323226,N,,Y,House / apartment,2
346148,N,,N,With parents,3
354219,N,,Y,House / apartment,2
178710,N,,Y,House / apartment,2
331407,Y,14.0,N,House / apartment,2
246309,N,,Y,House / apartment,2
420974,N,,Y,House / apartment,2
119726,Y,24.0,N,House / apartment,2
447707,N,,N,House / apartment,3
380884,N,,Y,House / apartment,2
269572,Y,7.0,Y,House / apartment,2
340950,N,,Y,House / apartment,2
114204,Y,10.0,N,Municipal apartment,2
308770,N,,Y,House / apartment,2
234525,N,,Y,House / apartment,3
437366,N,,N,House / apartment,2
190283,N,,Y,House / apartment,3
168944,N,,Y,House / apartment,2
454711,N,,Y,House / apartment,2
143213,N,,N,Office apartment,2
445336,N,,Y,House / apartment,3
312320,N,,Y,House / apartment,2
363132,Y,14.0,N,House / apartment,2
292297,N,,Y,House / apartment,2
437923,N,,Y,House / apartment,2
339270,N,,Y,House / apartment,3
392875,N,,Y,House / apartment,2
275403,N,,Y,House / apartment,2
226578,N,,Y,House / apartment,2
208344,N,,N,House / apartment,2
218691,N,,N,House / apartment,3
321005,N,,Y,House / apartment,2
367809,Y,18.0,N,House / apartment,2
454051,Y,6.0,N,House / apartment,2
301821,N,,Y,House / apartment,2
215134,N,,Y,House / apartment,2
423318,N,,Y,House / apartment,3
403442,N,,N,House / apartment,2
240795,N,,Y,House / apartment,2
396972,Y,11.0,Y,House / apartment,2
283529,Y,5.0,Y,House / apartment,3
175324,Y,3.0,N,House / apartment,3
256548,Y,6.0,Y,House / apartment,3
353760,N,,Y,House / apartment,2
264263,N,,Y,House / apartment,2
240957,Y,8.0,N,House / apartment,3
422714,N,,N,With parents,2
112420,N,,N,With parents,3
320518,Y,11.0,Y,House / apartment,2
142293,N,,Y,House / apartment,2
151179,N,,Y,Office apartment,2
374887,N,,Y,House / apartment,1
287684,Y,16.0,Y,House / apartment,3
101007,Y,22.0,N,House / apartment,2
217483,N,,N,House / apartment,2
350316,N,,Y,House / apartment,2
363628,N,,Y,House / apartment,3
259764,Y,3.0,Y,House / apartment,1
413283,N,,Y,House / apartment,3
136207,N,,N,House / apartment,2
389938,Y,6.0,N,House / apartment,2
438785,N,,N,House / apartment,1
425296,Y,16.0,Y,House / apartment,2
229158,N,,Y,House / apartment,2
251142,Y,13.0,Y,With parents,2
391183,Y,2.0,Y,House / apartment,2
347842,Y,16.0,Y,House / apartment,3
363523,N,,Y,House / apartment,2
318884,Y,7.0,Y,House / apartment,3
239698,N,,Y,House / apartment,2
366030,Y,4.0,Y,House / apartment,1
419182,N,,Y,House / apartment,2
375583,N,,N,House / apartment,2
162458,N,,Y,House / apartment,3
133265,N,,Y,House / apartment,2
249349,Y,10.0,Y,House / apartment,2
338309,Y,7.0,N,House / apartment,2
391415,Y,16.0,N,House / apartment,1
275144,N,,Y,House / apartment,1
128768,N,,N,House / apartment,2
108881,N,,N,Rented apartment,2
179385,N,,Y,House / apartment,2
191027,Y,21.0,Y,House / apartment,1
231923,N,,N,House / apartment,3
370888,N,,Y,House / apartment,2
126271,N,,Y,House / apartment,2
100588,N,,Y,House / apartment,2
427808,N,,Y,House / apartment,1
111281,N,,N,House / apartment,3
328010,Y,35.0,N,House / apartment,2
155461,Y,7.0,N,House / apartment,2
103852,Y,64.0,Y,House / apartment,1
262795,N,,Y,House / apartment,2
337114,N,,Y,House / apartment,2
323391,Y,5.0,Y,House / apartment,2
168972,Y,16.0,Y,House / apartment,3
406191,N,,Y,House / apartment,2
305638,N,,Y,House / apartment,2
177969,N,,N,House / apartment,3
362810,N,,Y,House / apartment,2
269444,Y,11.0,Y,House / apartment,3
361391,N,,N,House / apartment,3
296735,N,,N,House / apartment,2
104785,N,,Y,House / apartment,3
139785,Y,13.0,Y,House / apartment,2
111029,N,,Y,House / apartment,2
343804,N,,Y,House / apartment,2
182529,N,,Y,House / apartment,2
243516,N,,Y,House / apartment,3
430741,N,,Y,House / apartment,2
153085,Y,17.0,N,House / apartment,2
209042,N,,Y,House / apartment,2
335350,Y,6.0,N,House / apartment,1
188395,N,,Y,House / apartment,2
119661,N,,Y,House / apartment,2
104626,N,,Y,House / apartment,2
403502,N,,Y,House / apartment,2
244660,N,,Y,House / apartment,2
229192,Y,6.0,Y,House / apartment,2
382915,Y,25.0,Y,House / apartment,2
169334,Y,11.0,N,House / apartment,1
124394,N,,Y,House / apartment,2
425328,N,,Y,House / apartment,2
228037,Y,7.0,N,House / apartment,3
216037,N,,N,House / apartment,2
245553,N,,Y,House / apartment,2
170100,N,,Y,House / apartment,2
139080,N,,Y,House / apartment,2
123590,N,,Y,House / apartment,2
414287,N,,Y,House / apartment,3
259998,Y,12.0,N,House / apartment,2
248711,Y,29.0,Y,House / apartment,2
346350,N,,Y,House / apartment,2
185063,Y,3.0,Y,House / apartment,2
434232,Y,1.0,N,House / apartment,3
227644,N,,Y,House / apartment,2
127260,N,,Y,House / apartment,3
296889,N,,Y,House / apartment,1
453757,Y,7.0,Y,House / apartment,2
361635,N,,Y,House / apartment,2
388855,N,,N,House / apartment,2
169156,Y,14.0,Y,House / apartment,2
403106,N,,Y,House / apartment,2
233665,N,,Y,House / apartment,2
169135,N,,N,House / apartment,2
453401,Y,17.0,Y,House / apartment,3
372047,N,,Y,House / apartment,2
210596,Y,6.0,Y,House / apartment,2
412086,Y,6.0,Y,House / apartment,1
423136,N,,N,Rented apartment,2
101480,Y,14.0,Y,House / apartment,2
233870,Y,4.0,Y,House / apartment,2
214816,N,,Y,Rented apartment,2
294335,N,,N,House / apartment,2
433949,N,,N,House / apartment,3
126552,Y,15.0,N,House / apartment,3
291860,N,,N,House / apartment,2
287509,N,,N,House / apartment,2
325050,N,,N,House / apartment,2
264098,N,,N,House / apartment,2
215954,Y,6.0,Y,House / apartment,2
318691,N,,Y,House / apartment,2
379449,N,,Y,House / apartment,2
215343,N,,Y,House / apartment,2
281530,N,,Y,With parents,2
319103,N,,Y,House / apartment,2
324232,N,,N,Rented apartment,2
138214,Y,23.0,N,House / apartment,2
212728,N,,N,With parents,2
127401,N,,N,House / apartment,2
119015,Y,14.0,Y,House / apartment,2
182435,N,,Y,House / apartment,3
305241,N,,N,Co-op apartment,1
273033,N,,Y,House / apartment,3
343590,Y,6.0,N,House / apartment,2
443849,N,,Y,House / apartment,2
187982,N,,N,House / apartment,2
145582,N,,N,House / apartment,2
415504,N,,Y,House / apartment,2
220561,N,,Y,House / apartment,2
372804,N,,Y,House / apartment,2
166735,N,,N,House / apartment,2
163509,N,,Y,House / apartment,2
180546,Y,4.0,Y,House / apartment,2
263701,Y,17.0,Y,Office apartment,2
322947,N,,Y,House / apartment,2
313098,Y,7.0,Y,House / apartment,2
297016,Y,6.0,Y,House / apartment,2
302058,N,,Y,House / apartment,2
352985,Y,14.0,N,House / apartment,3
124548,N,,N,House / apartment,1
392308,N,,Y,House / apartment,2
439397,Y,4.0,Y,House / apartment,2
419065,Y,4.0,Y,House / apartment,1
267315,N,,Y,House / apartment,2
393705,Y,1.0,N,With parents,3
455996,N,,Y,House / apartment,1
176481,N,,Y,House / apartment,2
233873,Y,8.0,Y,House / apartment,2
159045,N,,N,House / apartment,2
316306,N,,N,House / apartment,2
228542,Y,8.0,N,Rented apartment,2
256095,N,,Y,House / apartment,2
283355,Y,4.0,Y,Municipal apartment,2
165701,N,,N,House / apartment,2
297947,N,,N,House / apartment,2
363790,N,,Y,House / apartment,2
136170,N,,Y,House / apartment,2
318099,Y,18.0,Y,House / apartment,2
267364,N,,Y,House / apartment,2
453439,N,,Y,House / apartment,2
333274,Y,1.0,N,House / apartment,1
242785,N,,Y,House / apartment,3
274584,N,,Y,House / apartment,3
168621,N,,Y,House / apartment,3
223958,N,,N,House / apartment,1
277941,N,,N,House / apartment,2
369077,N,,Y,House / apartment,2
120831,N,,Y,House / apartment,2
147010,N,,N,House / apartment,1
331884,N,,Y,House / apartment,2
116155,Y,10.0,N,House / apartment,3
279535,N,,Y,House / apartment,2
204147,Y,28.0,N,House / apartment,2
150639,N,,Y,House / apartment,2
101275,N,,Y,House / apartment,3
444889,Y,9.0,Y,House / apartment,2
233140,N,,Y,House / apartment,2
145994,N,,N,House / apartment,2
162849,Y,9.0,Y,House / apartment,2
305765,Y,2.0,Y,House / apartment,2
299562,N,,Y,House / apartment,2
248371,N,,Y,House / apartment,2
379615,N,,Y,House / apartment,3
351488,Y,7.0,N,House / apartment,2
260567,N,,Y,House / apartment,2
339246,N,,Y,House / apartment,2
113716,Y,7.0,N,House / apartment,2
189746,Y,2.0,Y,House / apartment,3
407424,N,,Y,Co-op apartment,2
420470,N,,Y,House / apartment,1
259180,Y,12.0,N,House / apartment,3
135912,N,,Y,House / apartment,2
384932,N,,Y,House / apartment,2
165897,N,,N,House / apartment,2
259904,N,,N,House / apartment,2
324231,N,,Y,House / apartment,3
356368,Y,12.0,Y,House / apartment,3
383641,N,,Y,House / apartment,2
120632,N,,Y,House / apartment,2
110019,Y,16.0,N,House / apartment,2
134243,N,,Y,House / apartment,1
104970,N,,Y,With parents,2
372873,Y,19.0,N,House / apartment,3
204625,Y,1.0,Y,House / apartment,2
404930,N,,N,Municipal apartment,2
433857,Y,4.0,Y,House / apartment,2
346460,Y,3.0,Y,House / apartment,2
380199,N,,N,House / apartment,1
141077,Y,3.0,Y,House / apartment,2
253391,N,,Y,House / apartment,2
265177,Y,14.0,Y,House / apartment,2
257013,N,,N,House / apartment,2
113182,Y,13.0,Y,House / apartment,2
432971,Y,15.0,N,House / apartment,2
296997,N,,Y,House / apartment,2
157906,N,,Y,House / apartment,2
178551,Y,3.0,Y,House / apartment,2
253608,Y,9.0,Y,House / apartment,2
421682,N,,N,House / apartment,1
414099,Y,4.0,Y,House / apartment,2
305871,N,,Y,House / apartment,2
328916,N,,Y,House / apartment,2
419773,Y,1.0,Y,House / apartment,2
445241,Y,3.0,N,House / apartment,2
406497,Y,6.0,Y,House / apartment,2
306749,N,,N,House / apartment,1
372754,N,,N,Municipal apartment,1
238605,Y,1.0,Y,House / apartment,2
285539,Y,6.0,N,House / apartment,2
380144,N,,Y,House / apartment,2
238048,N,,N,House / apartment,2
425452,N,,Y,House / apartment,2
110445,Y,4.0,N,House / apartment,2
425377,Y,1.0,Y,House / apartment,2
430113,N,,Y,House / apartment,3
311352,Y,6.0,Y,House / apartment,2
362861,Y,6.0,Y,House / apartment,2
435119,Y,64.0,Y,House / apartment,2
221026,N,,Y,House / apartment,2
191610,N,,Y,House / apartment,2
258684,Y,9.0,Y,House / apartment,3
290294,N,,N,House / apartment,2
362916,N,,Y,House / apartment,2
196894,N,,Y,House / apartment,1
121264,N,,N,House / apartment,3
411923,N,,Y,House / apartment,2
160540,Y,0.0,Y,House / apartment,2
174241,Y,7.0,Y,House / apartment,2
367195,N,,Y,House / apartment,3
153464,Y,11.0,Y,House / apartment,3
291054,N,,N,House / apartment,3
353958,N,,N,House / apartment,2
290846,Y,27.0,Y,House / apartment,2
132348,N,,Y,House / apartment,2
441759,N,,Y,House / apartment,2
225586,N,,N,Municipal apartment,2
208461,Y,11.0,Y,House / apartment,2
373462,N,,Y,House / apartment,2
392816,N,,N,House / apartment,2
100981,N,,N,House / apartment,2
406089,N,,N,House / apartment,2
444954,N,,N,House / apartment,1
117636,Y,19.0,Y,House / apartment,2
350594,N,,Y,House / apartment,2
355062,Y,3.0,N,House / apartment,2
129482,N,,Y,House / apartment,2
139764,N,,Y,House / apartment,2
428352,N,,Y,House / apartment,1
367785,Y,3.0,Y,House / apartment,1
330719,N,,Y,House / apartment,1
453925,N,,Y,Municipal apartment,1
238384,Y,13.0,N,House / apartment,3
443075,N,,N,House / apartment,2
435047,N,,Y,House / apartment,2
125535,N,,Y,House / apartment,2
421298,N,,Y,House / apartment,2
154688,Y,11.0,N,House / apartment,2
135739,N,,Y,House / apartment,2
309405,N,,Y,House / apartment,2
115275,N,,Y,With parents,3
122482,Y,15.0,N,House / apartment,2
367398,N,,Y,House / apartment,3
100020,N,,N,House / apartment,2
455924,Y,6.0,Y,House / apartment,1
194210,N,,Y,House / apartment,2
176306,Y,17.0,Y,House / apartment,3
265204,N,,Y,House / apartment,2
396808,Y,3.0,Y,House / apartment,2
337081,N,,Y,House / apartment,2
114037,N,,N,House / apartment,2
184260,N,,Y,House / apartment,2
295937,Y,8.0,Y,House / apartment,2
416642,N,,Y,House / apartment,2
425539,N,,N,House / apartment,2
298908,Y,4.0,Y,House / apartment,1
406688,N,,Y,House / apartment,2
275846,N,,Y,House / apartment,2
312512,Y,0.0,Y,House / apartment,3
413509,Y,14.0,N,House / apartment,2
277587,Y,64.0,Y,House / apartment,2
165114,Y,28.0,Y,House / apartment,3
408416,N,,N,House / apartment,1
401354,N,,Y,House / apartment,2
148614,N,,Y,House / apartment,2
393238,N,,Y,House / apartment,2
313022,N,,Y,House / apartment,2
197710,N,,Y,House / apartment,2
387395,N,,Y,House / apartment,2
395053,Y,1.0,N,With parents,2
147542,N,,Y,With parents,2
120658,N,,Y,House / apartment,3
257087,N,,N,House / apartment,3
152195,N,,Y,House / apartment,3
409556,Y,0.0,N,House / apartment,2
383897,N,,N,With parents,2
323898,Y,6.0,Y,House / apartment,2
190077,Y,2.0,Y,House / apartment,2
290341,N,,Y,House / apartment,2
286918,N,,Y,House / apartment,2
255132,N,,Y,House / apartment,2
286593,Y,13.0,Y,House / apartment,2
422205,Y,9.0,N,House / apartment,2
379814,N,,Y,House / apartment,2
426699,Y,7.0,N,With parents,2
191540,N,,Y,House / apartment,2
268006,Y,5.0,N,House / apartment,2
370070,N,,Y,With parents,2
185425,N,,Y,House / apartment,2
268016,Y,3.0,N,House / apartment,2
117855,N,,Y,House / apartment,2
330633,N,,Y,House / apartment,2
436330,N,,Y,House / apartment,1
452474,N,,Y,House / apartment,2
195142,N,,Y,House / apartment,2
206727,Y,9.0,Y,House / apartment,2
288897,Y,12.0,N,House / apartment,2
241938,N,,Y,House / apartment,2
435197,N,,Y,House / apartment,2
315250,N,,Y,Office apartment,3
238846,Y,10.0,Y,House / apartment,2
351003,N,,N,House / apartment,2
336514,N,,Y,House / apartment,1
389513,N,,Y,House / apartment,3
394383,N,,N,House / apartment,2
375876,N,,N,With parents,3
138836,Y,5.0,Y,House / apartment,2
215973,N,,Y,House / apartment,3
454899,N,,Y,House / apartment,2
411377,N,,N,House / apartment,2
188452,N,,N,Office apartment,2
144072,N,,Y,House / apartment,3
375545,Y,3.0,N,House / apartment,2
203024,Y,6.0,Y,House / apartment,2
218872,N,,Y,House / apartment,2
293513,N,,Y,House / apartment,2
453929,Y,2.0,Y,House / apartment,3
183637,N,,Y,Municipal apartment,1
109478,N,,N,House / apartment,2
185034,N,,Y,House / apartment,3
135862,N,,Y,Municipal apartment,2
248331,Y,13.0,Y,House / apartment,2
169622,Y,4.0,Y,House / apartment,2
185957,Y,23.0,N,House / apartment,2
336631,N,,Y,House / apartment,2
209759,Y,13.0,N,House / apartment,3
143744,N,,Y,House / apartment,1
361851,Y,20.0,N,House / apartment,2
119882,Y,6.0,Y,House / apartment,2
339462,N,,N,With parents,1
240711,Y,5.0,Y,House / apartment,2
309727,N,,Y,House / apartment,2
248525,N,,Y,House / apartment,2
370782,Y,33.0,Y,House / apartment,3
191384,N,,Y,House / apartment,1
180097,N,,N,House / apartment,1
295333,Y,3.0,N,House / apartment,1
287725,N,,Y,House / apartment,2
291698,N,,Y,House / apartment,2
227220,N,,Y,House / apartment,2
157585,Y,5.0,N,House / apartment,2
361793,N,,N,House / apartment,2
116523,N,,Y,House / apartment,2
135469,N,,Y,House / apartment,2
425180,N,,Y,House / apartment,2
127211,Y,8.0,Y,House / apartment,3
382542,N,,Y,House / apartment,2
403098,Y,2.0,N,House / apartment,1
118950,N,,Y,House / apartment,2
278991,N,,Y,House / apartment,2
425006,Y,14.0,Y,House / apartment,2
378037,N,,Y,House / apartment,2
321589,Y,4.0,Y,House / apartment,2
310762,Y,12.0,Y,House / apartment,2
201731,N,,Y,House / apartment,1
268170,Y,17.0,Y,Rented apartment,2
199277,N,,N,House / apartment,2
396712,N,,Y,House / apartment,2
146602,N,,N,House / apartment,2
316307,N,,Y,House / apartment,2
369031,N,,Y,House / apartment,2
134180,N,,N,House / apartment,2
398711,N,,Y,House / apartment,2
362270,N,,Y,House / apartment,2
360774,N,,Y,House / apartment,2
410174,N,,N,House / apartment,2
177004,N,,Y,House / apartment,3
119953,N,,Y,House / apartment,2
165241,N,,Y,House / apartment,2
226426,N,,N,With parents,2
187885,Y,13.0,N,House / apartment,3
143916,N,,Y,House / apartment,2
122445,Y,7.0,Y,House / apartment,2
291537,N,,N,With parents,2
196715,Y,19.0,Y,House / apartment,2
388521,N,,Y,House / apartment,2
260377,Y,14.0,Y,House / apartment,3
365101,Y,10.0,N,House / apartment,3
375631,N,,Y,House / apartment,2
195806,N,,Y,House / apartment,2
200734,N,,Y,House / apartment,2
170636,N,,Y,House / apartment,2
231103,Y,6.0,Y,House / apartment,2
283823,Y,14.0,Y,House / apartment,2
408633,N,,Y,House / apartment,2
362759,N,,Y,House / apartment,2
195395,N,,N,With parents,2
140083,Y,1.0,Y,House / apartment,2
342842,N,,Y,House / apartment,2
374683,N,,Y,House / apartment,1
282358,Y,0.0,Y,House / apartment,2
235072,Y,1.0,N,House / apartment,2
168146,Y,18.0,Y,House / apartment,2
221112,Y,2.0,N,House / apartment,2
232689,N,,Y,House / apartment,3
365288,N,,Y,House / apartment,2
313126,N,,Y,House / apartment,2
406309,N,,Y,House / apartment,2
308620,N,,N,With parents,1
142843,Y,14.0,Y,House / apartment,2
386159,N,,N,Municipal apartment,1
381402,N,,N,House / apartment,2
437184,N,,N,House / apartment,2
165553,N,,N,House / apartment,2
338505,Y,7.0,N,House / apartment,2
296181,N,,Y,House / apartment,2
328547,N,,N,With parents,2
157089,N,,N,House / apartment,3
333154,Y,25.0,Y,House / apartment,2
122294,N,,N,House / apartment,3
428860,N,,Y,House / apartment,2
317560,N,,Y,House / apartment,2
344204,Y,14.0,Y,House / apartment,2
100536,Y,64.0,Y,House / apartment,2
365561,N,,Y,House / apartment,2
401115,N,,Y,House / apartment,2
196059,Y,10.0,N,With parents,2
184419,Y,1.0,Y,House / apartment,2
214159,N,,Y,House / apartment,2
104808,N,,N,House / apartment,2
298438,N,,N,House / apartment,1
449655,N,,N,House / apartment,2
223921,Y,18.0,N,Municipal apartment,1
147304,N,,Y,House / apartment,3
364843,N,,N,House / apartment,2
230063,Y,7.0,N,House / apartment,3
257626,Y,4.0,N,House / apartment,2
265155,N,,N,House / apartment,3
142050,Y,5.0,Y,House / apartment,2
350866,Y,13.0,Y,House / apartment,2
309123,N,,Y,House / apartment,2
192370,N,,N,House / apartment,3
185972,N,,Y,House / apartment,2
153965,N,,Y,House / apartment,2
281688,N,,Y,House / apartment,2
177377,N,,N,House / apartment,2
344951,Y,1.0,N,House / apartment,2
229685,Y,12.0,Y,House / apartment,2
101538,N,,Y,House / apartment,2
298283,Y,3.0,Y,House / apartment,1
386325,N,,Y,House / apartment,2
246989,Y,19.0,Y,House / apartment,2
455129,N,,Y,House / apartment,2
110776,N,,Y,House / apartment,3
237456,N,,N,House / apartment,1
191788,Y,3.0,Y,House / apartment,2
278569,Y,6.0,Y,House / apartment,2
121938,Y,11.0,Y,House / apartment,2
336085,N,,N,House / apartment,3
157703,N,,Y,House / apartment,2
124281,N,,Y,House / apartment,2
419180,N,,Y,House / apartment,3
251034,N,,N,House / apartment,2
432793,N,,N,House / apartment,2
382262,Y,7.0,Y,House / apartment,2
277420,N,,N,House / apartment,3
418075,N,,Y,House / apartment,2
284909,N,,Y,House / apartment,1
266648,Y,7.0,N,House / apartment,2
205443,N,,Y,House / apartment,2
385053,N,,Y,House / apartment,2
196998,Y,14.0,N,House / apartment,2
353159,Y,7.0,Y,House / apartment,1
164260,Y,13.0,N,House / apartment,2
387871,Y,11.0,N,House / apartment,2
144012,Y,35.0,Y,House / apartment,2
377271,N,,Y,House / apartment,2
336733,N,,Y,House / apartment,2
260993,N,,Y,House / apartment,2
448073,Y,21.0,Y,House / apartment,3
317176,N,,Y,Rented apartment,2
296465,Y,2.0,Y,House / apartment,2
286899,Y,4.0,Y,House / apartment,3
188649,N,,Y,House / apartment,2
262074,N,,Y,House / apartment,2
315712,Y,9.0,Y,House / apartment,2
421346,Y,64.0,Y,House / apartment,2
126939,Y,24.0,Y,House / apartment,2
160876,N,,N,House / apartment,3
213147,Y,8.0,Y,House / apartment,2
229354,Y,7.0,Y,House / apartment,2
184756,N,,Y,House / apartment,2
347610,Y,3.0,Y,House / apartment,2
385233,N,,Y,House / apartment,3
336384,N,,Y,House / apartment,2
132535,Y,13.0,Y,House / apartment,2
261217,N,,Y,House / apartment,2
311242,Y,3.0,N,House / apartment,2
136300,N,,N,House / apartment,3
378606,N,,Y,House / apartment,2
298125,N,,Y,House / apartment,3
367792,N,,Y,House / apartment,3
317310,N,,Y,House / apartment,2
338942,Y,26.0,Y,With parents,2
445912,Y,6.0,Y,House / apartment,1
279159,N,,N,Office apartment,3
406930,Y,7.0,Y,House / apartment,1
258904,N,,N,House / apartment,2
434063,N,,Y,House / apartment,2
105878,Y,6.0,Y,House / apartment,2
112782,N,,Y,House / apartment,2
202213,N,,Y,House / apartment,3
317860,N,,N,Municipal apartment,1
224924,N,,N,With parents,1
244578,N,,Y,House / apartment,2
154668,N,,Y,House / apartment,1
418369,N,,Y,House / apartment,2
419737,N,,Y,House / apartment,3
196886,N,,Y,House / apartment,2
280663,N,,Y,House / apartment,2
183161,N,,Y,House / apartment,2
156992,N,,Y,Municipal apartment,1
159282,Y,29.0,Y,With parents,2
228960,Y,12.0,Y,House / apartment,3
272414,N,,Y,House / apartment,2
177527,N,,N,House / apartment,2
337966,Y,5.0,N,House / apartment,3
290390,N,,Y,House / apartment,2
292283,N,,N,House / apartment,2
451887,N,,N,House / apartment,2
428022,N,,N,House / apartment,2
264337,Y,16.0,N,House / apartment,2
442104,N,,Y,House / apartment,2
209642,N,,N,Municipal apartment,1
244540,N,,Y,House / apartment,2
156817,N,,N,House / apartment,1
264816,Y,5.0,N,House / apartment,2
425919,N,,N,House / apartment,3
397260,N,,N,House / apartment,2
283967,N,,N,Municipal apartment,1
428356,N,,Y,House / apartment,2
180147,N,,Y,House / apartment,2
196447,N,,N,House / apartment,1
107177,N,,N,Co-op apartment,2
395477,N,,Y,House / apartment,2
209251,N,,Y,House / apartment,2
247418,N,,Y,House / apartment,2
174885,Y,22.0,N,Municipal apartment,1
273264,N,,Y,House / apartment,1
194896,N,,N,House / apartment,2
311992,Y,8.0,Y,House / apartment,1
220925,Y,5.0,Y,House / apartment,2
425554,Y,20.0,Y,Municipal apartment,2
334597,N,,Y,House / apartment,1
349068,N,,N,House / apartment,2
380588,N,,N,House / apartment,2
327126,N,,Y,House / apartment,2
281627,N,,N,House / apartment,2
376548,N,,Y,House / apartment,2
363892,N,,Y,House / apartment,2
154186,N,,N,Office apartment,2
436905,N,,N,House / apartment,2
120898,N,,Y,House / apartment,2
360981,N,,Y,House / apartment,2
114870,N,,Y,House / apartment,2
207190,N,,Y,Municipal apartment,1
214384,N,,N,House / apartment,3
306828,N,,N,House / apartment,2
417938,N,,Y,House / apartment,2
184597,N,,N,With parents,2
131205,N,,N,House / apartment,2
152312,Y,15.0,Y,House / apartment,2
210354,Y,3.0,Y,House / apartment,3
185020,N,,N,House / apartment,2
156835,N,,Y,House / apartment,2
313821,N,,Y,House / apartment,2
145589,N,,Y,House / apartment,1
